title,employer,min_salary,max_salary,source,link
Аналитик данных/Data analyst,ООО Фотострана,-,-,https://hh.ru,https://hh.ru/vacancy/43289151
ML Engineer,Профи (profi.ru),-,-,https://hh.ru,https://hh.ru/vacancy/43684352
Data Engineer (Hadoop),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43878932
Data engineer,Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/39888796
Build Engineer/DevOps (Azure Pipelines),ООО ОнТаргет ЛАБС,4 500 USD,6 000 USD,https://hh.ru,https://hh.ru/vacancy/43444482
Big Data Инженер,ООО Кузница Кадров,-,-,https://hh.ru,https://hh.ru/vacancy/43908122
"Senior Big Data Engineer, Financial Software Solutions",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/41833824
System/ Business Analyst (Remote),Spark Equation,130 000 руб.,200 000 руб.,https://hh.ru,https://hh.ru/vacancy/42800283
Data Engineer (Hadoop),Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/43414102
Data инженер,Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/41512086
Devops engineer,Билайн: ИТ и Digital,-,-,https://hh.ru,https://hh.ru/vacancy/43557084
Senior Data Engineer в BI Team,ООО ЭдСервер,-,-,https://hh.ru,https://hh.ru/vacancy/41038879
Data Engineer,ООО Рэд Рок / Verv,-,-,https://hh.ru,https://hh.ru/vacancy/43921107
Data engineer (Управление противодействия кибермошенничеству),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43944017
BI Engineer,NIX,-,-,https://hh.ru,https://hh.ru/vacancy/43468976
Senior Data Engineer,ООО Изибрэйн,-,-,https://hh.ru,https://hh.ru/vacancy/42203655
Старший инженер в области машинного обучения (Senior Data Scientist),ООО Компания Стрим Лабс,-,-,https://hh.ru,https://hh.ru/vacancy/43959754
Data-инженер,Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/43000232
Data Integration Engineer,"Wargaming, Minsk (Game Stream)",-,-,https://hh.ru,https://hh.ru/vacancy/41557398
ML Engineer,Профи (profi.ru),-,-,https://hh.ru,https://hh.ru/vacancy/43684352
BI Engineer,NIX,-,-,https://hh.ru,https://hh.ru/vacancy/43468976
DevOps Engineer 3 - Dev Infra (Canada),Behavox,8 000 USD,-,https://hh.ru,https://hh.ru/vacancy/42568106
Аналитик данных / QA-инженер (Junior),ЗАО КонсультантПлюс,-,-,https://hh.ru,https://hh.ru/vacancy/43729314
Senior Data Engineer (Limassol),Easybrain,-,-,https://hh.ru,https://hh.ru/vacancy/43589806
Devops engineer,Билайн: ИТ и Digital,-,-,https://hh.ru,https://hh.ru/vacancy/43557084
Data Engineer,RB,-,-,https://hh.ru,https://hh.ru/vacancy/42773461
Аналитик данных/Data analyst,ООО Фотострана,-,-,https://hh.ru,https://hh.ru/vacancy/43289151
"Senior BigData Engineer, Financial Software Solutions",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43999987
Senior Data Engineer (GameDev),AppQuantum,-,-,https://hh.ru,https://hh.ru/vacancy/42231361
Middle/Senior Data Analyst (Dispatch),Ситимобил,160 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43939640
